tag,name,trophies,explevel,arena,clan
#JJ280RGQJ,I:larry,10554,63,Royal Road,Farabi
#U2LL8LPC,Dragon,10000,55,Legendary Arena,No Clan
#9P2YQ929R,CAPTEN,10112,68,Lumberlove Cabin,JewGamealot
#202J28QYR,✨SumanDas✨,10354,64,Lumberlove Cabin,THE IMMORTAL 50
#RGCCC8PCP,King,10119,62,Lumberlove Cabin,$VIP$GANG$
#8V9Y9RUU9,Pⓐⓑⓛⓞ ⓔⓢⓒⓞⓑⓐⓡ,10273,63,Lumberlove Cabin,THE IMMORTAL 50
#8P0RYQJL0,<c5>Bloodshot,10509,65,Royal Road,THE IMMORTAL 50
#2V00LR22,ivara,10205,61,Lumberlove Cabin,THE IMMORTAL 50
#YQQCLPCR2,mortal,10206,61,Lumberlove Cabin,THE IMMORTAL 50
#9UQQC2PVJ,Nani,10269,58,Lumberlove Cabin,THE IMMORTAL 50
#2VY2GGVLR,IG_Rūtvìk,10758,56,Royal Road,THE IMMORTAL 50
#QUVPJLYP,Arhaan,10030,55,Lumberlove Cabin,THE IMMORTAL 50
#UPL0U2Q8,ANGAD,10141,60,Lumberlove Cabin,THE IMMORTAL 50
#C0GJVU9,PRIT∆M K∆RM∆K∆R,10179,71,Lumberlove Cabin,THE IMMORTAL 50
#2QLRV0UPP,harshul,10260,63,Lumberlove Cabin,No Clan
#Q82CQ2VP8,machine,10120,63,Lumberlove Cabin,THE IMMORTAL 50
#YJJG2RJLC,avio,10059,72,Lumberlove Cabin,THE IMMORTAL 50
#G22PGY9R0,LH Thor,10000,60,Lumberlove Cabin,THE IMMORTAL 50
#UGGUYPLVL,Jarvis,10152,50,Lumberlove Cabin,THE IMMORTAL 50
#8Q2URLR2C,SanchoLiveYT,10315,67,Lumberlove Cabin,THE IMMORTAL 50
#990LLRP0,Pranjal,10055,64,Lumberlove Cabin,THE IMMORTAL 50
#8Q2URLR2C,SanchoLiveYT,10315,67,Lumberlove Cabin,THE IMMORTAL 50
#990LLRP0,Pranjal,10055,64,Lumberlove Cabin,THE IMMORTAL 50
#8CQLVP8,Juventino #99,10143,61,Lumberlove Cabin,THE IMMORTAL 50
#2CVYGPQL8,BHEEMSEN BOSS,10087,59,Lumberlove Cabin,No Clan
#Q0VVJY8CV,S8ULshivam,10000,52,Legendary Arena,No Clan
#980J0CGLJ,♠ANIT♠,10500,76,Royal Road,INDIANS
#RCPU0GYQU,hash,10000,60,Lumberlove Cabin,INDIANS
#8YYGRVGJ,The immortal 46,10827,77,Royal Road,INDIANS
#JLLC9UV,aadi_the-brutal,10296,74,Lumberlove Cabin,INDIANS
#8RYYCUVCU,shaurya,10030,48,Lumberlove Cabin,INDIANS
#9YV00LCC9,faz,10277,62,Lumberlove Cabin,INDIANS
#9L0PYLLQL,DARK,10383,62,Lumberlove Cabin,MINEIROS
#CCYCPGPJL,DESTROYER,10212,65,Lumberlove Cabin,RISING PHOENIX
#2VGYJ90GR,suhrit,10000,62,Legendary Arena,ak sigh
#GRVVYJLY,YAMASURA,10175,59,Lumberlove Cabin,INDIANS
#2PPYR2RRV,Aman,10418,74,Lumberlove Cabin,INDIANS
#CL2YLGPL0,Muhammad Shakki,10004,58,Lumberlove Cabin,INDIANS
#GGUC8VYP0,Arav999,10150,56,Lumberlove Cabin,INDIANS
#YUUQ2CY2C,Mr.SaiTamA,10596,71,Royal Road,INDIANS
#9JUJVYQU9,अनंतविजय,10500,69,Royal Road,69 Moons Tech.
#8VU9CJC8,atul napoleon,10203,62,Lumberlove Cabin,INDIANS
#GJV990R8Q,lord bibek,10000,57,Legendary Arena,No Clan
#P8J2J9L2,EKÀNSH,10527,68,Royal Road,strangers
#Q02VPCPYJ,ASHGAMING,10242,57,Lumberlove Cabin,INDIANS
#2JVR02920,Srv,10000,66,Lumberlove Cabin,INDIANS
#29R2JYVYG,Rocky,10535,61,Royal Road,INDIANS
#9CC2RYPUG,ansh,10500,64,Royal Road,INDIANS
#2YUPQGQU,Sudheer,10179,71,Lumberlove Cabin,INDIANS
#8GLP90Q9,Zorozz,10057,62,Lumberlove Cabin,INDIANS
#9PQQ2PPYL,SATYAM,10000,61,Lumberlove Cabin,INDIANS
#22R88PYVV,bond1,10085,60,Lumberlove Cabin,INDIANS
#J2LJCR8P,100rabh,10258,65,Lumberlove Cabin,Death Squad
#8J2298JVQ,Psycho,10235,59,Lumberlove Cabin,INDIANS
#8VLYQ2R0,GHOST WARRIOR,10546,72,Royal Road,INDIANS
#2PY89CGQ,EbY,10027,65,Lumberlove Cabin,INDIANS
#2PLPGG8L0,IR⚡OWAIS,10300,56,Lumberlove Cabin,KING KOHLI 18
#8JG9VLJU0,Stalin David,10209,68,Lumberlove Cabin,#BloodyKnights
#29QG8Q0C2,zeek,10176,60,Lumberlove Cabin,INDIANS
#P9CU9CYGR,R-ONE,10098,54,Lumberlove Cabin,WE THE CHAMPION
#PRP8P2JPQ,iheb,10000,62,Lumberlove Cabin,No Clan
#YY8UV0GP,AYUSH,10090,70,Lumberlove Cabin,INDIANS
#2PLLV0VRC,KING CHINMAY,10176,62,Lumberlove Cabin,INDIANS
#2CGJ9V2CV,Siddarth,10000,64,Lumberlove Cabin,No Clan
#PUJ8008Y,aure0685,10139,57,Lumberlove Cabin,INDIANS
#RJ89Q8J2,bond,10817,77,Royal Road,INDIANS
#8Q0R2Q88C,@ClashRoyale_Z,10143,62,Lumberlove Cabin,No Clan
#UJP8R0QLG,flash,10000,51,Lumberlove Cabin,No Clan
#V0LPYCJPC,Kirito,10097,57,Lumberlove Cabin,A 1
#9VGCJ0RGQ,anant,10000,56,Legendary Arena,No Clan
#2GV2RJPPP,Asher,10010,60,Lumberlove Cabin,echape2
